text,Number of Hashtags,Hashtags,Length of tweet,isRetweet
"Raju was also involved in various robberies, two ghastly murders and in case of FICN peddling..

In his criminal frenzy, had even murdered his father who had disinherited him owing to his dangerous and anti-social conduct..",0,[],223,True
"Sustained gun shot injuries in return fire; were declared dead at AIIMS Trauma Center where they were rushed for medical attention..

A huge cache of firearms and ammunition recovered..

Raja was involved in a spate of robberies, four gruesome murders and under UP Gangster Act..",0,[],279,True
"Raja Pehlwan, r/o Loni, Ghaziabad, UP and Ramesh Bahadur, r/o Karawal nagar, Delhi were intercepted at Maa Anandmayi Marg, on way to Okhla Mandi..

Brazenly defying call to surrender, they opened fire..",0,[],202,True
"@LtGovDelhi 
@CPDelhi 
Death in Police action

Raja Pehelwan @ Quraishi and Ramesh @ Bahadur, two desperate dacoits/murderors succumb to defensive fire of Cell personnel after a fierce skirmish..",0,[],195,True
"#DelhiPoliceWeek
#YamunaCleaning taken up by staff of PS Timarpur, Waziarabad and Civil Lines.
Before and after pictures.
@DelhiPolice https://t.co/a8OxcUzmcG",2,"['DelhiPoliceWeek', 'YamunaCleaning']",158,True
@LlbSir Matter is being forwarded to @dtptraffic for necessary action.,0,[],70,False
@AliSaif44711758 Please lodge a complaint on ‘https://t.co/UX8RcXyvXF’ for necessary action.,0,[],92,False
"PS Lajpat Nagar: Captured in CCTV, Identified through Face recognition app and use of technical surveillance, Day Burglar arrested. Recovered Ornaments, Cash, dollar, Nigerian Naira Omani Rial worth https://t.co/xWXk1el8V6. 25 lakhs.
recovered. @DelhiPolice @CPDelhi https://t.co/nIvX4KOwhV",0,[],290,True
@PFarmana Please contact the designated Investigating Officer in this regard.,0,[],77,False
@NitishK25788174 @LtGovDelhi You are requested to immediately lodge a missing person's report at your local Police Station or lodge a complaint on Delhi Police Website ‘https://t.co/X0oJwcRzAy’ for necessary action.,0,[],215,False
"116 quarters of illicit liquor from possession of one lady namely Savita (Name changed)  r/o Gali No. 15,  Swaroop Nagar by PS Swaroop Nagar #OuterNorthDistrict @DelhiPolice @CPDelhi",0,[],182,True
"One Vijay @ Kalia R/o Shahbad Dairy, Delhi arrested and recovered a Desi Katta &amp; 01 live cartridge. Proceedings U/s 82 CrPC were being initiated against him. #OuterNorthDistrict @DelhiPolice @CPDelhi",0,[],203,True
"three accused persons namely 1. Subhash @ Upender R/o Shahdra, Delhi 2. Satpal R/o Sambhal, UP 3. Manoj R/o Distt. Pratapgarh, UP arrested and one loaded country made pistol and one stolen M/cycle &amp; 199 bags of stolen katha  by PS Alipur #OuterNorthDistrict @DelhiPolice @CPDelhi",0,[],283,True
"One  Subhash R/o Jakhira huts Rakhi market, Rama road, Patel Nagar Delhi-15 Age- 55 yrs arrested with one scooter with 5 cartons of illicit liquor i.e. 242 quarters by PS Bawana #OuterNorthDistrict @DelhiPolice @CPDelhi",0,[],219,True
"One desperate criminal namely Shah Alam, 23 yrs r/o Sec A-5, Narela, Delhi has been arrested with a loaded country made pistol by PS Narela #OuterNorthDistrict @DelhiPolice @CPDelhi",0,[],181,True
"One bootlegger namely Vimla, 42 yrs r/o Shriram Colony, Singhu Border has been nabbed with 100 quarters of illicit liquor by PS Narela #OuterNorthDistrict @DelhiPolice @CPDelhi",0,[],176,True
One Surjeet Singh r/o JJ Colony Bhalswa dairy age- 40 yrs was found in possession of 140 quarters of country made liquor by PS Bhalswa Dairy #OuterNorthDistrict @DelhiPolice @CPDelhi,0,[],182,True
One Sumit  @ Shivaji r/o village Mukundpur age-26 yrs was found in possession of a country made pistol along with two live cartridge by PS Bhalswa Dairy #OuterNorthDistrict @DelhiPolice @CPDelhi,0,[],194,True
Md.Jagir R/O  Near Chadha Nurshing Home Samay pur Delhi Age 33 years has been arrested with 15 cartons (748 quarters) of illicit liquor by PS SP Badli #OuterNorthDistrict @DelhiPolice @CPDelhi,0,[],192,True
"BC of PS Burari , Dharmender  @ Kanhaiya r/o  25 Foota Road Burari,  age  28 yrs, arrested  with desi katta and  a live cartridge by PS Swaroop Nagar. He is earlier involved in 43 cases of theft and A. Act. #OuterNorthDistrict @DelhiPolice @CPDelhi",0,[],248,True
"@RajpootRaveena @OfficialDMRC Kindly share additional details with the office of DCP, Metro at: dcp-metro-dl@nic.in

You can also call at the below mentioned numbers:
011-22183904
8800294695",0,[],190,False
"Today, students from Doda district,J&amp;K, visited the historical Police Station of Parliament Street. Officers of the district had a wonderful interaction with these young boys and girls, bubbling with energy and enthusiasm.
@CPDelhi @LtGovDelhi #DelhiPolice
#EkBharatShresthaBharat https://t.co/EshPj7rUY3",0,[],308,True
"Rajeev @ Golu has been committing thefts in and around Railway stations. He was declared a Proclaimed offender by court in May 2019. Finally brought to the book by PS Sadar Bazar. #ShantiSewaNyay 
@LtGovDelhi @DelhiPolice https://t.co/IAVcWnhU3B",0,[],245,True
@DelhiPolice https://t.co/bVWLoAw53L,0,[],36,True
"Vehicle battery thieves namely Rizwan and Bilal of Mustafabad have been arrested by Team of PS Sarai Rohilla along with the receiver Amir of MuradNagar. 21 stolen batteries recovered from them. #ShantiSewaNyay #DelhiPoliceforCitizens 
@DelhiPolice @LtGovDelhi https://t.co/DAwkmSn7Cc",0,[],283,True
"@SwatiMe01390312 @LtGovDelhi Whenever you observe such happenings around you, please dial #112 for Police assistance immediately.",0,[],129,False
"345 girls of various schools in New Delhi district trained in self defence.
@CPDelhi @LtGovDelhi #DelhiPolice https://t.co/dXcWK83hEw",1,['DelhiPolice'],133,True
@Mukeshv02185352 @LtGovDelhi Please share your grievance with Station House Officer of the concerned Police Station in this regard.,0,[],131,False
@ShivamV07849439 Please lodge a complaint on Delhi Police Website 'https://t.co/X0oJwcRzAy' or lodge the same at your local Police Station for necessary action.,0,[],160,False
@mittalsk57 Please share your grievance with Station House Officer of the concerned Police Station in this regard.,0,[],114,False
@canindya Please report the matter at your local Police Station or lodge a complaint on  ‘https://t.co/UX8RcXyvXF’ for necessary action. Such offers are generally fraud and you should not fall for them.,0,[],202,False
"@MridulCSrivast5 Please lodge a complaint with the office of DCP CyPAD, Dwarka or lodge the same on ‘https://t.co/UX8RcXyvXF’ for necessary action. Such offers are generally fraud and you should not fall for them.",0,[],213,False
"""1/3"" A section of the media has reported that some toxic chemical spray was used and injuries were inflicted upon some female protestors by police..

It is regretted that the concerned media houses have not even cared to enquire from the officials concerned and know @DelhiPolice",0,[],280,True
"""3/3"" However, it is to reiterate that following the highest standards of professional policing, utmost patience and restraint is being exercised in handling the protests while ensuring the safety and security of all, including the protestors..@DelhiPolice",0,[],256,True
"""2/3"" the correct state of facts before proceeding with the wholly inappropriate and incorrect publication..

These  insinuations are false, malicious, reprehensible and not even worth contesting..@DelhiPolice",0,[],209,True
@AnimeshhGautam Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],91,False
"Staff of Police Station Barakhamba Road made a humble contribution of Rs 1 Lakh and clothing for the marriage of a private Safai Karamchari Smt. Rani's daughter.
@CPDelhi @DelhiPolice @LtGovDelhi 
#DelhiPolice #HumansInKhaki #PolicingWithHeart https://t.co/NwcALxgaLK",0,[],267,True
@shant20396 You are requested to contact Delhi Police Control Room at 112 or report the matter at your local Police Station for necessary action.,0,[],145,False
@Ajay_Bahera Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],88,False
@itsGsR @dtptraffic Matter is being forwarded to @dtptraffic for necessary action.,0,[],82,False
@Bipinsingh24 Please report the matter at your local Police Station for necessary action as per law.,0,[],100,False
@Ashutos50363170 @LtGovDelhi Please share your grievance with Station House Officer of the concerned Police Station in this regard.,0,[],131,False
"Dwarka District Police remained on high alert at Inter-States border pickets and kept on intensive vehicles checking, to ensure free, fair &amp; peaceful polling in Dwarka District area for Delhi Assembly Election- 2020.
@DelhiPolice
@CPDelhi
@LtGovDelhi
@CeodelhiOffice https://t.co/lB8RBmPB9j",0,[],294,True
Staff extending help and care to the needy citizens amidst performing duties in DLA election 2020 in Outer North district @CPDelhi @LtGovDelhi @splcpnorthdelpo @DelhiPolice #dutywithcare https://t.co/0z5dhQCUCL,0,[],210,True
"Smt. Shalini Singh, Jt.CP/WR along with Senior Police Officers of Dwarka District conducted foot patrolling, visited critical Polling Stations in Dwarka District area to ensure free &amp; fair polling for DLAE-2020.
@DelhiPolice 
@CPDelhi 
@LtGovDelhi 
@CeodelhiOffice https://t.co/NlhLGGjqtd",0,[],292,True
Serving you is our duty #soutwestdistrictpolice #DelhiElections2020 @DelhiPolice @CPDelhi @LtGovDelhi @CeodelhiOffice https://t.co/uXlFutlA2A,2,"['soutwestdistrictpolice', 'DelhiElections2020']",141,True
"HITTING THE GROUND RUNNING. 
Joined Mrs. Shalini Singh, IPS, Jt. CP/Western Range and covered sensitive spots afoot with ITBP &amp; DP personnel. Despite a touch of chill in the air, voters turned up enthusiastic early on. 
@LtGovDelhi @CPDelhi @CeodelhiOffice @ANI https://t.co/s6zK3KgrTd",0,[],289,True
"Model polling station a Model for #womenempowerment Secured by women of Delhi police, South West District. #DelhiElections @DelhiPolice @LtGovDelhi @CPDelhi @CeodelhiOffice https://t.co/WWfCvAx12u",1,['womenempowerment'],196,True
"Area domination exercise across South District on the eve of DLSA 2020.
@DCPSouthDelhi @DelhiPolice https://t.co/HvqRdzf4TG",0,[],123,True
"05 Model/Pink Polling Stations in Dwarka Distt, being managed by Female staff only, are functioning smoothly. People cast their votes, meanwhile, women voters are also enjoying at “Mehndi Point”. Dwarka Police ensuring free, fair &amp; peaceful election.
@DelhiPolice 
@CeodelhiOffice https://t.co/ecKlO7Hqhe",0,[],308,True
"Helping the citizens in exercising their democratic right.
#DelhiElections2020 https://t.co/3xbVLEAjfO",1,['DelhiElections2020'],102,True
"मतदाताओ को वोट करने हेतु सहायता देती हुई आपकी अपनी पुलिस
@DCPSouthDelhi @DelhiPolice @CeodelhiOffice https://t.co/Jmw10QT7jr",0,[],124,True
"Festival of Democracy: Enthusiast Voters show their strength in Shaheen Bagh, Jamia, Kalindi Kunj and other areas of SED. #heavyturnout  @DelhiPolice @ECISVEEP @CeodelhiOffice https://t.co/PVBDReL0ws",0,[],199,True
"Helping the citizens in exercising their democratic right.
#DelhiElections2020 https://t.co/3xbVLEAjfO",1,['DelhiElections2020'],102,False
"Assisting the nonagenarians DLA 2020.
@DCPSouthDelhi @DelhiPolice https://t.co/fuUOqcMXzX",0,[],89,True
"Visit by senior officers to check arrangements and ensure smooth conduct of DLA 2020 elections.
@DCPSouthDelhi @DelhiPolice https://t.co/2MIBaSMXoQ",0,[],147,True
"Professionalism along with compassion. Dwarka District police personnel are helping out senior citizens and specially abled voters in reaching the polling booths.
@CPDelhi 
@DelhiPolice 
@LtGovDelhi 
@CeodelhiOffice https://t.co/SV2FoGprfz",0,[],239,True
"Senior officers visiting polling stations in the night to check deployment and brief the staff for ensuring free and fair polls
@CPDelhi @LtGovDelhi @DelhiPolice https://t.co/JN5Ep8UPUY",0,[],185,True
"Police personnel assisting the voters during the conduct of DLA Elections 2020
@CPDelhi @LtGovDelhi @DelhiPolice https://t.co/zclYY7Puou",0,[],136,True
SED police staff assisting the elderly and those voters who need assistance. #socialresponsibility @DelhiPolice @CeodelhiOffice @LtGovDelhi @ECISVEEP @CPDelhi https://t.co/dbXNTDwoNM,1,['socialresponsibility'],182,True
"NO LET UP TILL LAST MOMENT 
Taking account of the preparedness as well as basic amenities provided to the staff on night duty besides group patrolling with CAPF &amp; DP personnel. Cast your vote &amp; celebrate the festival of Democracy. @ANI @CPDelhi @CeodelhiOffice @LtGovDelhi https://t.co/DeM7VNPpK0",0,[],304,True
"#Flagmarch, regular visit of Critical Polling Stations &amp; ROKO TOKO exercise conducted in Dwarka District area, as an area dominance &amp; confidence building measure, to ensure free &amp; fair Delhi Legislative Assembly Election-2020.
@LtGovDelhi
@CPDelhi
@DelhiPolice 
@CeodelhiOffice https://t.co/l0ftas4ccN",1,['Flagmarch'],313,True
"Intensive vehicles checking at Inter-State Border pickets of Dwarka District in view of Delhi Legislative Assembly Election-2020.
@LtGovDelhi
@DelhiPolice
@CPDelhi
@CeodelhiOffice https://t.co/9njh1wSBX2",0,[],203,True
Visit to Critical Polling Premises with DEO SE District and interaction with Polling parties. @DelhiPolice @CeodelhiOffice https://t.co/2JRpvStfDp,0,[],146,True
@SaifiN18 Please lodge a complaint on ‘https://t.co/RWOng1LTze’ or lodge the same at your local Police station for necessary action.,0,[],132,False
@pragyaenterpri1 @DCPSouthDelhi You are requested to contact Delhi Police Control Room at 112 or report the matter at your local Police Station for necessary action.,0,[],165,False
@nkjhaknp Please lodge a complaint on Delhi Police Website ‘https://t.co/X0oJwcRzAy’ for necessary action.,0,[],106,False
@Aryavanshi_ @CPDelhi Please Dial 112 for Police assistance in case of loudspeaker usage in public areas in late night hours.,0,[],125,False
"Briefing of staff including outside force and Homeguards by senior officers to ensure free and fair DLA Elections 2020
@CPDelhi @LtGovDelhi @DelhiPolice https://t.co/XGrY5Nm5ar",0,[],176,True
"ASI Hari Singh Meena of PS Parliament Street went beyond the call of his duty to save a bird at Vijay Chowk. Proud to have such officers in the team.
@CPDelhi @DelhiPolice @LtGovDelhi #PrideInKhaki
#HumanInKhaki https://t.co/5ZJS9wqQF4",0,[],235,True
@mdahamiwal Please contact the designated Investigating Officer in this regard.,0,[],79,False
@abir4ever You are requested to immediately lodge a missing person's report at your local police station or lodge a complaint on Delhi Police Website ‘https://t.co/X0oJwcRzAy’ for necessary action.,0,[],197,False
Hard work &amp; professionalism by district Special Staff  led to arrest of 5 desperate robbers who committed robbery in keshavpuram. They confessed involvement in series of robberies. 28 lakhs cash &amp; illegal firearms recovered. Kudos to the team effort @DelhiPolice @CPDelhi https://t.co/V1bYaAzLUm,0,[],303,True
"Area domination exercise in New Delhi district in view of #DelhiElections
@CPDelhi @LtGovDelhi @ECISVEEP @CeodelhiOffice https://t.co/e0xYTZTaRL",1,['DelhiElections'],144,True
Extensive Flag march and Area domination being done in Outer North district @CPDelhi @LtGovDelhi @DelhiPolice @splcpnorthdelpo https://t.co/OcKyUxWfRW,0,[],150,True
"Gang of desperate robbers who targeted Food Delivery Staff arrested by Team South with recovery of two knives,pistol,ammunition,9 mobiles and one vehicle
@CPDelhi @LtGovDelhi @DelhiPolice 
#KeepingDelhiSafe https://t.co/Lu31FSYWyn",0,[],230,True
"Patrolling, area domination, in connection with Delhi Assembly Polls 2020,  by Team Rohini @CPDelhi  @DelhiPolice  @CeodelhiOffice #DelhiElections2020 https://t.co/MjIfGWYChm",0,[],174,True
@SureshJha99 Please share your grievance with Station House Officer of the concerned Police Station in this regard.,0,[],115,False
@CPCB_OFFICIAL @HND1900 @ControlDelhi The matter has already been referred to @DCPSEastDelhi for necessary action.,0,[],114,False
"Sensational blind murder with robbery case FIR no 64/20 of 31st January’19 of PS Malviya Nagar, solved, accused arrested. Robbed Mobile Phone of the deceased recovered. Two of the three apprehended persons are juveniles. @DelhiPolice @LtGovDelhi @CPDelhi #CrimeDetection https://t.co/ad1bBLmRZX",0,[],294,True
"#Patrolling
#AreaDomination 
#DelhiAssemblyPolls 
@DelhiPolice https://t.co/jc9Mxx9y9S",3,"['Patrolling', 'AreaDomination', 'DelhiAssemblyPolls']",86,True
Full proof security arrangements at huge public gatherings in West District. Appreciable support of law abiding citizens facilitated peaceful and orderly proceedings and conclusion of the function. @ANI @CPDelhi @LtGovDelhi @CeodelhiOffice https://t.co/Atx9qVrkwU,0,[],263,True
@SaiSankarpanda1 Please lodge a complaint on Cyber Crime website “https://t.co/UX8RcXyvXF” or lodge the same at your local Police Station for necessary action.,0,[],159,False
@Girishk414 Please Dial 112 for Police assistance in case of loudspeaker usage in public areas in late night hours.,0,[],115,False
@kishandev_ Please Dial 112 for Police assistance in case of loudspeaker usage in public areas in late night hours.,0,[],115,False
"Route march led by senior officers in connection with DLA 2020 for area domination
@CPDelhi @LtGovDelhi @DelhiPolice https://t.co/vzdn7Arg0K",0,[],140,True
"सावधान रहें। कोई भी पेमेंट ऐप फोन से KYC वेरिफाई नहीं करता। KYC सत्यापन की कॉल अकसर आपके साथ धोखाधड़ी करने के लिए की जाती है। कभी भी:
१. ऐसे कॉलर के कहने पर कोई ऐप ना डाउनलोड करें।
२. सत्यापन के लिए कोई छोटे से छोटा पेमेंट ना दें, ना ही लें।
३. KYC SMS में दिए नंबर पर कॉल ना करें https://t.co/MSwQsnB562",0,[],304,False
"Don't get tricked. No Payment App verifies KYC over a phone call. Most of these calls/SMSs intend to cheat you. 
1. Don't click on any link sent in any message
2. Don't install any App on caller's advice
3. Don't do even a Rs.1 transaction
4. Don't call on number given in KYC SMS https://t.co/IXEmoYEpXQ",0,[],304,False
@jeetandratiwari Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],92,False
"It is hereby clarified that no permission to hold a protest on 02.02.2020 has been given to Sh.Saket Gokhale. A copy of his request letter is being circulated in the social media as permission, which is not the case. 
@DelhiPolice",0,[],230,True
@aannuupp10 Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],87,False
Dwarka district police arrested three people of the same family for cheating a widow woman (living alone) of Rs 4.5 lakh on the pretext of helping her in adoption of a child. Probe revealed that trio were also involved in brutal murder case of a youth in Baghpat. https://t.co/oSH3Di6PA3,0,[],287,True
@iammgoyal Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],86,False
